ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33-10;33;Projekt;Nowoczesne materia³y i innowacyjne metody dla przetwarzania i monitorowania energii (MIME) ;POIG.01.01.02-00-108/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;22,243,954.00;22,031,860.00;22,031,860.00;18,727,081.00;Instytut Fizyki Polskiej Akademii Nauk;5250009275;02-668;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.02-00-108/09-16;Nie;2010/12/29;2011/01/03
33-11;33;Projekt;Innowacyjne metody wykorzystania komórek macierzystych w medycynie ;POIG.01.01.02-00-109/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.02;45,567,696.00;45,351,032.00;45,351,032.00;38,548,377.20;Pomorski Uniwersytet Medyczny w Szczecinie;8520006757;70-204;Szczecin;Zachodniopomorskie;Powiat m. Szczecin;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.01.02-00-109/09-14;Nie;2010/12/29;2011/01/10
33-12;33;Projekt;Program Pomost - projekty realizowane przez naukowców powracaj¹cych do pracy naukowej po przerwach zwi¹zanych z opiek¹ nad dzieckiem oraz wsparcie w trakcie realizacji naukowych dla kobiet w ci¹¿y;POIG.01.02.00-00-001/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.02.00;;27,600,000.00;27,600,000.00;27,600,000.00;23,460,000.00;Fundacja na rzecz Nauki Polskiej;5260311952;02-548;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;fundacja;00 Nie dotyczy;POIG.01.02.00-00-001/09-19;Nie;2010/03/31;2010/04/01
33-13;33;Projekt;Program Homing Plus - projekty realizowane przez m³odych doktorów przyje¿d¿aj¹cych do Polski z zagranicy (zwany Homing+);POIG.01.02.00-00-002/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.02.00;;37,400,000.00;37,400,000.00;37,400,000.00;31,790,000.00;Fundacja na rzecz Nauki Polskiej;5260311952;02-548;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;fundacja;00 Nie dotyczy;POIG.01.02.00-00-002/09-20;Nie;2010/03/31;2010/04/01
33-14;33;Projekt;Strategie i scenariusze technologiczne zagospodarowania i wykorzystania z³ó¿ surowców skalnych;POIG.01.03.01-00-001/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;7,100,940.00;7,000,000.00;7,000,000.00;5,950,000.00;"""Poltegor-Instytut"" Instytut Górnictwa Odkrywkowego";8960005532;51-616;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-001/09-17;Nie;2010/12/13;2010/12/14
33-15;33;Projekt;Synteza kwasu akrylowego i estrów akrylowych w oparciu o surowce odnawialne, w tym o frakcjê glicerynow¹ z produkcji estrów metylowych kwasów t³uszczowych.;POIG.01.03.01-00-010/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;24,682,275.26;22,640,000.00;22,640,000.00;19,244,000.00;Instytut Chemii Przemys³owej im. prof. Ignacego Moœcickiego;5250007939;01-793;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-010/08-39;Nie;2010/12/31;2011/01/07
33-16;33;Projekt;"Mikro- i Nano-Systemy w Chemii i Diagnostyce Biomedycznej; MNS - DIAG";POIG.01.03.01-00-014/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;20,411,682.82;19,760,000.00;19,760,000.00;16,796,000.00;Instytut Technologii Elektronowej;5250009111;02-668;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-014/08-26;Nie;2010/12/31;2011/01/07
33-17;33;Projekt;WSTÊPNE SUSZENIE WÊGLA BRUNATNEGO DLA CELÓW ENERGETYCZNYCH;POIG.01.03.01-00-040/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;6,271,550.00;6,067,445.63;6,067,445.63;5,157,328.79;Politechnika Wroc³awska;8960005851;50-370;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;;;2010/12/27;2010/12/29
33-18;33;Projekt;„Technologie wytwarzania supertwardych materia³ów nanostrukturalnych ze stopów ¿elaza oraz ich zastosowanie w pancerzach pasywnych i pasywno-reaktywnych”;POIG.01.03.01-00-042/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;5,709,565.01;5,709,565.01;5,709,565.01;4,853,130.26;Instytut Metalurgii ¯elaza im. Stanis³awa Staszica;6310200819;44-100;Gliwice;Œl¹skie;Powiat m. Gliwice;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-042/08-18;Nie;2010/12/29;2010/12/30
33-19;33;Projekt;Mechatroniczny system sterowania, diagnostyki i zabezpieczeñ w maszynach górnictwa odkrywkowego.;POIG.01.03.01-00-043/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;6,370,000.00;6,150,000.00;6,150,000.00;5,227,500.00;"""Poltegor-Instytut"" Instytut Górnictwa Odkrywkowego";8960005532;51-616;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-043/08-21;Nie;2010/12/22;2010/12/23
33-20;33;Projekt;Silikonowe kompozyty ceramizuj¹ce na os³ony przewodów elektrycznych;POIG.01.03.01-00-067/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;3,413,868.17;3,413,868.17;3,413,868.17;2,901,787.94;Akademia Górniczo-Hutnicza im. Stanis³awa Staszica w Krakowie;6750001923;30-059;Kraków;Ma³opolskie;Powiat m. Kraków;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-067/08-20;Nie;2010/12/02;2010/12/03
33-21;33;Projekt;Analiza efektów wykorzystania toru w j¹drowym reaktorze energetycznym;POIG.01.03.01-00-076/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;7,510,686.00;7,510,686.00;7,510,686.00;6,384,083.10;Instytut Energii Atomowej POLATOM;5320001245;05-400;Otwock-Œwierk;Mazowieckie;Powiat otwocki;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-076/08-18;Nie;2010/04/11;2011/04/13
33-22;33;Projekt;Opracowanie modelu oceny ekoefektywnoœci technologii zrównowa¿onego rozwoju;POIG.01.03.01-00-091/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;2,357,880.00;2,357,880.00;2,357,880.00;2,004,198.00;G³ówny Instytut Górnictwa;6340126016;40-166;Katowice;Œl¹skie;Powiat m. Katowice;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-091/08-15;Nie;2010/12/08;2010/12/09
33-23;33;Projekt;Nowe przyjazne dla œrodowiska kompozyty polimerowe z wykorzystaniem surowców odnawialnych;POIG.01.03.01-00-092/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;4,795,111.18;4,716,299.98;4,716,299.98;4,008,854.98;G³ówny Instytut Górnictwa;6340126016;40-166;Katowice;Œl¹skie;Powiat m. Katowice;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-092/08-18;Nie;2010/12/13;2010/12/17
33-24;33;Projekt;Opracowanie metod przygotowania biomasy rolnej do energetycznego wykorzystania;POIG.01.03.01-00-096/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;999,700.00;973,793.18;973,793.18;827,724.21;Instytut Technologiczno-Przyrodniczy;5342437004;05-090;Falenty;Mazowieckie;Powiat pruszkowski;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-096/08-16;Nie;2010/12/13;2010/12/14
33-25;33;Projekt;POLAPGEN-BD „Narzêdzia biotechnologiczne s³u¿¹ce do otrzymywania odmian zbó¿ o zwiêkszonej odpornoœci na suszê”;POIG.01.03.01-00-101/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;23,416,911.00;23,416,911.00;23,416,911.00;19,904,374.35;Instytut Genetyki Roœlin Polskiej Akademii Nauk;7811621455;60-479;Poznañ;Wielkopolskie;Powiat m. Poznañ;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-101/08-19;Nie;2010/12/14;2010/12/16
33-26;33;Projekt;Poprawa niezawodnoœci bezo³owiowych po³¹czeñ lutowanych w pakietach elektronicznych;POIG.01.03.01-00-103/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;3,852,466.80;3,852,466.80;3,852,466.80;3,274,596.78;Instytut Odlewnictwa;6750000088;30-418;Kraków;Ma³opolskie;Powiat m. Kraków;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-103/09-13;Nie;2010/12/01;2010/12/02
33-27;33;Projekt;Polimerowe chirurgiczne systemy resorbowalne z pamiêci¹ kszta³tu;POIG.01.03.01-00-123/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;4,981,252.24;4,950,090.84;4,950,090.84;4,207,577.22;Centrum Materia³ów Polimerowych i Wêglowych PAN;6480006714;41-819;Zabrze;Œl¹skie;Powiat m. Zabrze;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-123/08-21;Nie;2010/11/29;2010/11/29
33-28;33;Projekt;Opracowanie metody wykrywania markerów wskazuj¹cych na predyspozycjê do rozwoju insulinoopornoœci;POIG.01.03.01-00-128/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;19,639,650.36;19,639,650.36;19,639,650.36;16,693,702.81;Uniwersytet Medyczny w Bia³ymstoku;5420211717;15-089;Bia³ystok;Podlaskie;Powiat m. Bia³ystok;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-128/08-16;Nie;2010/12/03;2010/12/06
33-29;33;Projekt;Innowacyjne technologie produkcji biopreparatów na bazie nowej generacji jaj (OVOCURA).;POIG.01.03.01-00-133/08-07;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;24,956,217.10;22,746,684.44;22,746,684.44;19,334,681.78;Uniwersytet Przyrodniczy we Wroc³awiu;8960005354;50-375;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-133/08-16;Nie;2010/12/29;2010/12/29
33-30;33;Projekt;Opracowanie innowacyjnych metod szybkiej identyfikacji nicieni powoduj¹cych straty w gospodarce.;POIG.01.03.01-00-133/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;14,639,656.26;14,639,656.26;14,639,656.26;12,443,707.82;Muzeum i Instytut Zoologii Polskiej Akademi Nauk;5250008689;00-679;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-133/09-20;Nie;2010/11/23;2010/11/24
33-31;33;Projekt;Wykorzystanie kapusty bia³ej na potrzeby fitoremediacji i biofumigacji gleby (AGROBIOKAP);POIG.01.03.01-00-138/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;3,874,234.55;3,391,950.00;3,391,950.00;2,883,157.50;Politechnika Gdañska;5840203593;80-233;Gdañsk;Pomorskie;Powiat m. Gdañsk;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-138/09-16;Nie;2010/12/22;2010/12/22
33-32;33;Projekt; E-administracja warunkiem rozwoju Polski. Wzrost konkurencyjnoœci przedsiêbiorstw z wykorzystaniem innowacyjnych modeli referencyjnych procesów administracji publicznej.;POIG.01.03.01-00-139/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;12,120,900.00;12,120,900.00;12,120,900.00;10,302,765.00;Uniwersytet Warmiñsko-Mazurski w Olsztynie;7393033097;10-957;Olsztyn;;;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-139/08-16;Nie;2010/12/02;2010/12/02
33-33;33;Projekt;Platforma wspomagania decyzji operacyjnych zale¿nych od stanu atmosfery (PROZA);POIG.01.03.01-00-140/08-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;12,796,713.48;12,796,713.48;12,796,713.48;10,877,206.46;Uniwersytet Warszawski;5250011266;00-927;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-140/08-13;Nie;2010/12/27;2010/12/28
33-34;33;Projekt; Modelowanie repozytorium i analiza efektywnoœci informacyjnej wytycznych i œcie¿ek klinicznych w s³u¿bie zdrowia;POIG.01.03.01-00-145/08-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;1,722,148.91;1,722,148.91;1,722,148.91;1,463,826.57;Wojskowa Akademia Techniczna im. Jaros³awa D¹browskiego;5270206300;00-908;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-145/08-13-K01;Tak;2010/06/21;2010/06/22
33-35;33;Projekt;Inteligentny System Kompleksowej Identyfikacji Pojazdów - ISKIP;POIG.01.03.01-00-147/08-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;2,175,224.12;2,044,610.00;2,044,610.00;1,737,918.50;Instytut Badawczy Dróg i Mostów;5250007661;03-302;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-147/08-18;Nie;2010/03/15;2010/03/15
33-36;33;Projekt;Biotransformacje u¿yteczne w przemyœle farmaceutycznym i kosmetycznym;POIG.01.03.01-00-158/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;13,631,854.00;13,299,981.60;13,299,981.60;11,304,984.36;Politechnika Wroc³awska;8960005851;50-370;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-158/09-15;Nie;2010/12/08;2010/12/10
33-37;33;Projekt;Innowacyjne technologie wielofunkcyjnych materia³ów i struktur dla nanoelektroniki, fotoniki, spintroniki i technik sensorowych (InTechFun);POIG.01.03.01-00-159/08-05;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;18,799,738.47;18,448,400.00;18,448,400.00;15,681,140.00;Instytut Technologii Elektronowej;5250009111;02-668;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-159/08-19;Nie;2010/12/23;2010/12/29
33-38;33;Projekt;„Opracowanie metody szybkiej estymacji w³aœciwoœci aerosprê¿ystych samolotu w czasie prób flatterowych w locie”;POIG.01.03.01-00-160/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;2,314,033.23;2,314,033.23;2,314,033.23;1,966,928.25;Instytut Lotnictwa;5250008494;02-256;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-160/08-16;Nie;2010/03/31;2010/04/01
33-39;33;Projekt;Technologia i nowej generacji urz¹dzenie wielozadaniowe do regeneracyjnego kszta³towania otwartych cieków wodnych;POIG.01.03.01-00-165/09-04;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;8,877,170.21;8,124,930.15;8,124,930.15;6,906,190.63;Przemys³owy Instytut Maszyn Rolniczych;7770003280;60-963;Poznañ;;;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-165/09-13;Nie;2010/12/21;2010/12/21
33-40;33;Projekt;SERCOWE KOMÓRKI MACIERZYSTE I PROGENITOROWE - nowa metoda regeneracji uszkodzonego serca;POIG.01.03.01-00-169/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;7,909,894.00;7,909,894.00;7,909,894.00;6,723,409.90;Œl¹skie Centrum Chorób Serca w Zabrzu;6482302807;41-800;Zabrze;Œl¹skie;Powiat m. Zabrze;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.03.01-00-169/09-14;Nie;2010/11/29;2010/11/30
33-41;33;Projekt;"Optymalizacja produkcji wo³owiny w Polsce, zgodnie ze strategi¹ ""od widelca do zagrody"".";POIG.01.03.01-00-204/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;39,658,286.90;39,658,286.90;39,658,286.90;33,709,543.87;Uniwersytet Warmiñsko-Mazurski w Olsztynie;7393033097;10-719;Olsztyn;Warmiñsko-mazurskie;Powiat m. Olsztyn;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-204/09-16;Nie;2010/12/06;2010/12/06
33-42;33;Projekt;Techniki wirtualne w badaniach stanu, zagro¿eñ bezpieczeñstwa i œrodowiska eksploatowanych maszyn;POIG.01.03.01-00-212/09-02;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.03.00;POIG.01.03.01;3,947,760.00;3,947,760.00;3,947,760.00;3,355,596.00;Uniwersytet Technologiczno - Przyrodniczy im. Jana i Jêdrzeja Œniadeckich w Bydgoszczy;5540313107;85-225;Bydgoszcz;Kujawsko-pomorskie;Powiat m. Bydgoszcz;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;uczelnia wy¿sza;00 Nie dotyczy;POIG.01.03.01-00-212/09-15;Nie;2010/12/27;2010/12/27
